,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
207837,136852.0,2.03094640493905,0.252767632435922,-1.64854773812093,1.25947248500923,0.395771785558831,-1.35577750952684,0.655935188982993,-0.419703470988968,0.0522870294943729,0.367785419941043,-0.829585016401735,-0.227348686689953,-0.923973157688565,0.923554086668329,0.408107847450302,-0.3126917893668,-0.377662332863609,-0.424143025403271,-0.450540709146712,-0.32344716951195,0.0409166305375131,0.162380588975551,0.0740308143939857,-0.0541097680393749,0.282283645743646,-0.589230009962013,-0.0272666890372474,-0.0587655262215302,14.0,0
68255,52900.0,1.16863337509836,0.0962082753934946,1.25065846959636,1.257643568556,-0.855881718322594,-0.292251493135702,-0.456180662810516,0.0079741949244757,0.603113542003861,-0.173873521737837,-0.499787905737783,0.87936235224595,0.998441463767172,-0.409778923805598,0.508671851771423,0.214624459322001,-0.449432045340112,-0.068921244727882,-0.353995326053558,-0.0730655747428385,-0.0132793132078993,0.155837580282143,-0.007101155035836,0.415358569534807,0.419051515705414,-0.417179411779503,0.073908871307462,0.0404259429516301,6.53,0
200346,133397.0,1.96959987191659,-1.21485651047625,-2.61457925261722,-1.6118971564917,1.54866680694245,3.4372596377426,-1.424562749195,0.920960728325331,-0.104683223847391,0.0613842001960123,0.433860909393278,-0.727586249763954,0.05270994198594,-1.89629860366589,0.757055872643028,1.60013811620165,1.29105992608341,-0.561799887381385,0.0503746536613948,0.273891597699211,0.286119741258854,0.619847460902478,0.0724286189566923,0.608184557922345,-0.141588135960929,-0.0757447665132272,0.0332362792287953,-0.0038199432904352,99.0,0
248900,154152.0,1.83241097485184,-0.518245998523077,-0.109214466092745,0.391796244298949,-1.00681652882674,-0.805507735103297,-0.477876715331697,-0.0068558197804795,0.747062619530829,0.152281175146374,1.40815766626051,1.19729011010103,-0.223245290788033,0.218062774677118,-0.204800512241066,0.455106038532726,-0.531197770483247,-0.166370385396388,0.0271167259693635,-0.115377204943987,-0.147801165858871,-0.473222721811521,0.461020565681746,0.534833703498352,-0.77556461262646,0.17367690609704,-0.0522064193450794,-0.0402399110040811,54.45,0
9774,14490.0,1.44034081509191,-0.470615917192414,-1.17414003635196,-1.49231296444575,1.58873061458604,3.1877829717876,-1.27054924059384,0.735880880594154,0.423578840679082,-0.0836240581545461,1.2333437177429,-3.39979311496143,1.84200580006604,0.379348938572684,0.412840808698025,1.86376328913542,1.14242430551715,-0.198288117617177,0.500433857691594,0.20057372991089,-0.144913264696143,-0.407261849888297,-0.0274130444456354,0.86989157431301,0.500126175102177,-0.306549262417993,0.0022915488439565,0.0303078507261663,15.95,0
152741,97452.0,1.90294499764027,-0.62758319151318,0.0840711331659042,0.397825333999115,-0.894929069650507,0.0660195674402406,-1.10974971069298,0.157035529257578,2.56975868012918,-0.206001290386572,1.26818739168966,-2.07634978756236,0.925083816699833,1.46785050364982,-0.54125670710684,0.988025582173849,-0.241303615836238,1.03520475047884,-0.0818948877668684,-0.194466728283297,-0.0829643061312642,0.0217044678403077,0.255845206986822,-0.463410450759198,-0.641159682288761,0.447378257449491,-0.0546501087624633,-0.0550167735557045,39.0,0
140302,83646.0,1.23326604751436,-0.28580617618419,0.621690164467896,0.493317770621152,-0.271825976831319,0.949142577868401,-0.762478189841605,0.327030532239872,1.09675430567456,-0.268525265798177,-1.84533720403662,-0.194168809372209,-0.217750994515471,-0.365034763740338,0.606943303110845,0.301006235457407,-0.37629639445865,-0.168810657828245,0.131069359794812,-0.115475531953152,-0.160690897966359,-0.253208498639499,-0.108005592726441,-1.3057171626473,0.350967139800199,0.434957811930799,0.0281437013236188,0.0088324316668526,10.5,0
35895,38313.0,1.03342162922837,-0.235454380954975,1.0820573853671,0.478288115635586,-0.84218125064857,0.0400893503939468,-0.579758014133826,0.218204188792449,0.178991417604732,-0.0055896748942674,1.80746996733644,1.16904567833842,0.305596366440348,0.172954896679222,0.917685223533409,0.497120369203138,-0.483186143633727,-0.0384930593329776,-0.534750150811192,0.0020494440739572,0.118900791182929,0.26703986905487,0.0619866289834666,0.269511657316417,0.0130010528470906,0.385352993968054,-0.0006772943248713,0.0234169572416664,51.2,0
251639,155436.0,2.07330665624168,0.128065851738793,-1.69822866106606,0.429309613052956,0.359505026851367,-0.910835796980648,0.154921056948086,-0.21281937902523,0.560395797816766,-0.364696100860746,-0.615923925661204,-0.0835114598474928,-0.394361261423996,-0.752429151571272,0.252463141776288,0.32809760335227,0.511191548205936,-0.262852267084515,0.0438134921352293,-0.186992065996077,-0.367974975944675,-0.975499828049053,0.349685053523265,0.555657378936526,-0.277606034798243,0.171202896931405,-0.0655257368729784,-0.0311764608836761,1.29,0
101346,67803.0,1.30131064046409,0.468737820058693,-0.0152893797483193,0.907748247676525,0.292125381996415,-0.452431164591423,0.326045507820622,-0.284249499974723,-0.232754752270686,-0.0373149788562724,-0.835082534978799,0.871114263800447,1.94620350864801,-0.0190544624505933,0.782523932171359,0.208377695273776,-0.833114769198691,-0.0998847834984332,-0.0678144020632238,0.0014062407738592,-0.0057874694808454,0.120158023205664,-0.2262956136696,-0.40640092032141,0.859487838564318,-0.282010596144691,0.0242061549112753,0.0158901345693221,6.0,0
199965,133219.0,1.59732098608093,-1.51330800937369,-1.16523084734256,-1.72062035831631,-0.286430788437577,0.930615696590238,-0.72640262849068,0.38500048273126,1.99324317461725,-0.933762707865315,1.09854498096049,1.18660039113513,-0.299057233228144,0.387333163458865,1.73004535759285,-0.719584762224265,-0.0557606715636712,-0.230075542135368,-0.14158440374473,0.0822258106350807,0.40744621971953,1.07818345007448,-0.0368161215239639,-1.58523682979597,-0.35703810953202,-0.0591492903374475,0.0398197399923087,-0.0403550968775008,183.02,0
